group,identifier,name,Grants,Amount Awarded
recipients,GB-CHC-269425,National Autistic Society Bexhill and Hastings,7,208612.66
recipients,GB-CHC-270761,North London Samaritans,3,609868.0
recipients,GB-CHC-271028,Rethink Mental Illness - The York Group,6,7511.92
recipients,GB-CHC-275066,Queen Elizabeth II Silver Jubilee Activity Centre,3,44259.17
recipients,GB-CHC-275936,KIDS,3,149621.91
recipients,GB-CHC-276821,Church Lads' and Church Girls' Brigade (The),4,30197.53
recipients,GB-CHC-277935,Youth Concern,3,324006.56
recipients,GB-CHC-279756,The Dartington Hall Trust,3,197606.0
recipients,GB-CHC-280552,Halstead Day Centre,3,10698.31
recipients,GB-CHC-280805,Disability Law Service,5,415000.0
recipients,GB-CHC-283660,Refugee Action,4,581688.0
recipients,GB-CHC-284736,Apex Charitable Trust,8,142931.02
recipients,GB-CHC-284912,Contact A Family,6,1248694.0
recipients,GB-CHC-286098,Cambridge Rape Crisis Centre,3,31861.28
recipients,GB-CHC-288527,Terrence Higgins Trust,3,598576.0
recipients,GB-CHC-289408,Horfield Community Association,4,8099.76
recipients,GB-CHC-290397,Swanage Pier Trust,3,67449.20999999999
recipients,GB-CHC-294797,Kentish Town City Farm,4,17249.32
recipients,GB-CHC-294998,PAC-UK,3,60000.0
recipients,GB-CHC-295324,Pan Intercultural Arts,4,161000.0
recipients,GB-CHC-296454,Beanstalk,4,224824.0
recipients,GB-CHC-297091,St Werburghs City Farm,6,23705.34
recipients,GB-CHC-298740,CSE,5,269271.0
recipients,GB-CHC-300991,"Barton Acorn Youth, Community and Sports Centre",3,14036.77
recipients,GB-CHC-301531,Filton Community Association,4,13844.9
recipients,GB-CHC-301639,Thornbury & District Community Association,3,10771.96
recipients,GB-CHC-305951,1st Beaford Guides,3,2191.8199999999997
recipients,GB-CHC-306016,Lauder girl guides,20,37004.47
recipients,GB-CHC-306101,1st Bridlington Scout Group - The Scout Association,21,44942.630000000005
recipients,GB-CHC-313013,Marine Society and Sea Cadets,9,354017.97
recipients,GB-CHC-313035,Modern Art Oxford,3,85000.0
recipients,GB-CHC-313697,Young Enterprise,3,46900.0
recipients,GB-CHC-326227,National Dance Company Wales,3,203971.0
recipients,GB-CHC-326550,Sustrans,3,128913.16
recipients,GB-CHC-500640,Changing Lives,9,570428.0
recipients,GB-CHC-505180,Sinnington Village Hall Committee,3,21000.0
recipients,GB-CHC-508450,Bendrigg Trust,3,42844.9
recipients,GB-CHC-510057,Dodleston Village Foundation,4,12630.84
recipients,GB-CHC-514733,Disability North,3,19120.0
recipients,GB-CHC-515689,Edwinstowe Village Hall,3,13876.46
recipients,GB-CHC-517190,Home from Hospital Care,4,33342.95
recipients,GB-CHC-521068,Victoria Institute,3,9263.16
recipients,GB-CHC-522079,Lesbury Village Hall,4,38050.0
recipients,GB-CHC-523135,Wallace House Community Centre,4,14428.06
recipients,GB-CHC-523455,Door 84,4,24002.62
recipients,GB-CHC-700638,Sheffield and Rotherham Wildlife Trust,3,525935.47
recipients,GB-CHC-701982,The Cellar Trust,3,112658.35
recipients,GB-CHC-702335,BUMPY LIMITED,3,362710.0
recipients,GB-CHC-800222,Cherry Trees,3,16052.41
recipients,GB-CHC-800329,Special Olympics Brecon,6,11236.33
recipients,GB-CHC-800862,RESPOND,3,245000.0
recipients,GB-CHC-801395,"NCT Twickenham, Hounslow and District",10,62300.82
recipients,GB-CHC-802384,Depaul UK,4,264850.0
recipients,GB-CHC-802440,React,3,13246.0
recipients,GB-CHC-802623,"Ashden  Sustainable solutions, better lives",3,27500.0
recipients,GB-CHC-802872,The Movement for Non-Mobile Children (Whizz Kidz),3,546457.0
recipients,GB-COH-00638709,Surrey East Area Cruse Bereavement Care,4,21528.77
recipients,GB-COH-05294486,Duckie Ltd,3,62196.0
recipients,GB-COH-06369123,Golden Oldies,3,7800.0
recipients,GB-COH-06596997,Gaydio,3,27000.0
recipients,GB-COH-06617608,Gendered Intelligence CIC,4,285100.0
recipients,GB-COH-07567921,Blueprint 22,3,23580.0
recipients,GB-COH-07599236,APE Project CIC,4,41160.0
recipients,GB-COH-07866032,Small Heath Boxing Club Limited,4,526728.0
recipients,GB-COH-07973985,Autism and Nature,3,20013.0
recipients,GB-COH-09537026,Volunteer It Yourself,3,330500.0
recipients,GB-COH-SC504000,Lingo Flamingo CIC,3,114000.0
recipients,GB-COH-SC515581,Nature Unlimited CIC,3,69425.0
recipients,GB-NIC-100508,Vineyard Compassion,3,36567.61
recipients,GB-SC-SC002538,The Yard,3,135000.0
recipients,GB-SC-SC003706,The Broomhouse Centre,4,1611611.0
recipients,GB-SC-SC003945,PLUS (Forth Valley) Ltd,4,107500.0
recipients,GB-SC-SC004425,YMCA Edinburgh,3,40183.0
recipients,GB-SC-SC006091,Ochil Tower School,3,128442.89
recipients,GB-SC-SC006403,One Parent Families Scotland,3,43170.21
recipients,GB-SC-SC006888,St Vincents Hospice Limited,3,43332.65
recipients,GB-SC-SC008382,Positive Help,4,190599.0
recipients,GB-SC-SC010985,Scottish Huntington's Association,4,151754.8
recipients,GB-SC-SC011541,Ardgowan Hospice,4,38735.72
recipients,GB-SC-SC011889,Falkirk & District Association for Mental Health,4,151562.14
recipients,GB-SC-SC014288,Possobilities Limited,4,75992.7
recipients,GB-SC-SC014964,St Madoes and Kinfauns Parish Church,3,41500.0
recipients,GB-SC-SC015815,Islay & Jura Community Enterprises Limited,5,86695.88
recipients,GB-SC-SC016092,Children 1st,4,182991.9
recipients,GB-SC-SC017483,Tiphereth Ltd -,3,155000.0
recipients,GB-SC-SC019637,Geeza Break,4,147188.3
recipients,GB-SC-SC020213,Carers Forum Stirling Area,3,22895.0
recipients,GB-SC-SC020329,St Georges & St Peters Community Association,3,24900.0
recipients,GB-SC-SC020526,Town Break SCIO,3,17500.0
recipients,GB-SC-SC021027,Enable - Ayr & District Branch,3,42878.0
recipients,GB-SC-SC022150,Toonspeak Young People's Theatre,3,152300.0
recipients,GB-SC-SC022263,Fife Employment Access Trust,4,131665.05
recipients,GB-SC-SC023190,"LINLITHGOW, St Peter's Episcopal Church",3,60000.0
recipients,GB-SC-SC023344,Play Alloa,4,209787.35
recipients,GB-SC-SC024228,Columcille,3,54428.79
recipients,GB-SC-SC024328,Refugee Survival Trust,3,36620.0
recipients,GB-SC-SC024686,Cowal Elderly Befrienders SCIO,4,250271.83
recipients,GB-SC-SC024761,John Bellany Day Centre,3,9708.82
recipients,GB-SC-SC024843,Food Train,3,1219534.32
recipients,GB-SC-SC025820,3D Drumchapel,3,195852.0
recipients,GB-SC-SC027182,Rainbow Care Centre,3,53423.21
recipients,GB-SC-SC027544,The Highland Small Communities Housing Trust,4,107000.0
recipients,GB-SC-SC027577,Positive Action in Housing,3,43000.0
recipients,GB-SC-SC027644,Multi-Cultural Family Base,4,292160.0
recipients,GB-SC-SC027915,Machan Trust,4,155644.45
recipients,GB-SC-SC028660,HopScotch Children's Charity,3,11420.22
recipients,GB-SC-SC028820,Maxwelltown Information Centre,4,151482.32
recipients,GB-SC-SC029395,Fly Cup Catering,5,72308.99
recipients,GB-SC-SC029770,Home-Start West Lothian,3,12814.05
recipients,GB-SC-SC029979,THE MOIRA ANDERSON FOUNDATION,3,40084.6
recipients,GB-SC-SC030113,Headway Glasgow,3,66616.0
recipients,GB-SC-SC030685,Monifieth Befriending Scheme,5,205771.02000000002
recipients,GB-SC-SC031600,Cruse Bereavement care Scotland,4,176000.0
recipients,GB-SC-SC031798,Common Wheel,3,53484.0
recipients,GB-SC-SC032130,The Haven,4,313314.06
recipients,GB-SC-SC032236,Glenboig Neighbourhood House,4,51028.06
recipients,GB-SC-SC032278,Cobhair Bharraigh SCIO,4,19394.51
recipients,GB-SC-SC033454,Community One Stop Shop,3,119401.0
recipients,GB-SC-SC033560,Pass IT On,3,98500.0
recipients,GB-SC-SC033632,The Preshal Trust,5,112602.58
recipients,GB-SC-SC033781,Scottish Detainee Visitors,3,105900.0
recipients,GB-SC-SC035317,Outside The Box Development Support,3,16455.760000000002
recipients,GB-SC-SC036135,Tweeddale Youth Action SCIO,3,15402.39
recipients,GB-SC-SC037844,Glasgow Life,4,55600.0
recipients,GB-SC-SC038504,Lambhill Stables,3,55000.0
recipients,GB-SC-SC038870,Sports Driving,3,24603.85
recipients,GB-SC-SC039319,Taymara,3,21180.0
recipients,GB-SC-SC040182,Arran Youth Foundations,3,52690.12
recipients,GB-SC-SC041781,Women's Aid South Lanarkshire and East Kilbride,3,65000.0
recipients,GB-SC-SC042012,Govan Community Project,4,256954.0
recipients,GB-SC-SC042272,Shopper-Aide Ltd,4,45562.85
recipients,GB-SC-SC042875,Perth Autism Support,4,53262.27
recipients,GB-SC-SC043154,Concrete Garden,4,274677.39
recipients,GB-SC-SC043156,SensationALL,4,86000.0
recipients,GB-SC-SC043220,Edinburgh Food Project,4,15861.900000000001
recipients,GB-SC-SC043269,REACH Lanarkshire Autism,4,184022.1
recipients,GB-SC-SC043573,CLEAR Levenmouth,3,166535.97
recipients,GB-SC-SC043604,Minority Communities Addiction Support Services,3,161834.19
recipients,GB-SC-SC043960,New Caledonian Woodlands,3,83386.0
recipients,GB-SC-SC044042,Scottish Centre for Personal Safety,3,21000.0
recipients,GB-SC-SC044859,Sunrise Partnership,4,30752.57
recipients,GB-SC-SC044968,The AGAPE Cafe and Wellbeing Centre,3,102500.0
recipients,GB-SC-SC046501,The Saturday Cafe Clubs,3,63335.0
